Gene,LogFC,Adjusted_PValue,Regulation
P4HB,1.6160086,4.641734052004283e-10,Upregulated
RELB,2.0529523,4.827844071832987e-10,Upregulated
PSMA6,1.2254336,5.180224109256667e-10,Upregulated
EZR,1.2035519,5.306740573020858e-10,Upregulated
NOL7,1.2270358,5.598135036175594e-10,Upregulated
FDFT1,1.8406111,6.586372520118729e-10,Upregulated
SPCS3,1.4233053,8.273150182198196e-10,Upregulated
SRSF3,1.0083537,1.17365278041004e-09,Upregulated
TMED9,1.3915657,1.291345440049537e-09,Upregulated
SOCS3,-1.3649218,1.6003940668796653e-09,Downregulated
BST2,1.3626832,1.7187942531041885e-09,Upregulated
DAD1,1.1342572,1.8124973184748369e-09,Upregulated
YPEL3,-1.4890424,2.0082374500199546e-09,Downregulated
FDPS,1.559676,2.208830360554277e-09,Upregulated
PHB,1.3538908,2.3352964930012882e-09,Upregulated
IFITM2,1.1278836,2.8439771582528805e-09,Upregulated
PDCD4,-1.2008445,2.892335214721759e-09,Downregulated
TXNDC17,1.8797129,3.378840593623782e-09,Upregulated
VDAC1,1.342441,3.378840593623782e-09,Upregulated
SARS,1.4559083,3.5363449598963894e-09,Upregulated
ILF2,1.501509,3.989023382851989e-09,Upregulated
PIK3IP1,-1.3766043,4.031318139532674e-09,Downregulated
LINC00861,-3.4076648,4.364344803443996e-09,Downregulated
FERMT3,1.862715,4.535849095288377e-09,Upregulated
RAP1A,1.1759527,4.827129216055932e-09,Upregulated
H2AFZ,1.0028651,4.919758576756823e-09,Upregulated
GBP2,1.1467328,5.2107801908941085e-09,Upregulated
LAPTM4B,3.0378203,5.889134597849984e-09,Upregulated
SFPQ,1.1290277,6.150307437978669e-09,Upregulated
TWF2,1.8335675,6.5843395853886456e-09,Upregulated
TIGIT,1.1156381,6.945363381106044e-09,Upregulated
GTF3C6,1.3351488,8.33070547458465e-09,Upregulated
CCT4,1.3495631,8.418726730712182e-09,Upregulated
SEM1,1.2003056,9.662557861682833e-09,Upregulated
PBXIP1,-1.5403531,1.062028763011039e-08,Downregulated
ATP1B3,1.5782808,1.1891413227313138e-08,Upregulated
PSMD14,1.6019809,1.6016322913354508e-08,Upregulated
EIF6,1.3363318,1.7326103911450897e-08,Upregulated
SELENOH,1.0887476,1.8987639917795157e-08,Upregulated
MBP,-1.3471427,2.023377931576514e-08,Downregulated
NAMPT,1.5597948,2.0377334656453113e-08,Upregulated
MRPL51,1.2922506,2.116960322283624e-08,Upregulated
LSM7,1.0795,2.192034784925946e-08,Upregulated
PSMA4,1.2613405,2.2697206126607197e-08,Upregulated
LIME1,-3.4222507,2.3102224178545234e-08,Downregulated
RPL22L1,1.4066597,2.370687805990306e-08,Upregulated
LSP1,-1.3076277,2.5234508890230505e-08,Downregulated
CAP1,1.0461544,2.5642505130076475e-08,Upregulated
TNIP2,1.6513712,2.572051210600925e-08,Upregulated
CCT8,1.2490299,3.640538267843498e-08,Upregulated
DBI,1.0016052,3.8851336732913683e-08,Upregulated
NDUFC2,1.0665174,3.934714186248158e-08,Upregulated
PUF60,1.3130003,4.895187455573267e-08,Upregulated
PNP,2.4060483,4.993199437988453e-08,Upregulated
TARS,2.0260785,5.4760088134792367e-08,Upregulated
