Gene,LogFC,Adjusted_PValue,Regulation
FKBP1A,1.6544424,1.9785993035086864e-55,Upregulated
PUM3,2.0041232,3.286433019316188e-55,Upregulated
SPATS2L,2.3274732,3.385165215790075e-55,Upregulated
SND1,2.2418773,4.33036682335771e-55,Upregulated
SYTL3,1.5537735,5.585206029729572e-55,Upregulated
DERL1,1.7416831,6.135226266007018e-55,Upregulated
ZC3H15,1.1858765,7.503818245604731e-55,Upregulated
TOMM22,1.7162936,1.2606492945109558e-54,Upregulated
ATOX1,1.5610013,1.7531216693952188e-54,Upregulated
MIER1,1.3721075,3.2433935936932966e-54,Upregulated
ZBTB20,-2.7426386,3.6475292523158305e-54,Downregulated
SERP1,1.080464,4.486424093872758e-54,Upregulated
MSN,1.0239185,4.5597741801025684e-54,Upregulated
MRPL20,1.1805851,7.011875320590081e-54,Upregulated
RBM17,1.3281292,9.834149598291597e-54,Upregulated
XRN2,1.2360835,1.1516995270206765e-53,Upregulated
SRPRB,2.442238,1.4177206886988543e-53,Upregulated
CBLB,1.6554735,1.5881581189980314e-53,Upregulated
TOMM6,1.1108575,1.6168506940359425e-53,Upregulated
PBXIP1,-2.5299463,2.7157000253356105e-53,Downregulated
ATP5F1B,1.1719586,3.861946870691701e-53,Upregulated
EPB41,-1.7063508,5.79565536818254e-53,Downregulated
PARP9,2.1528804,6.47877344893173e-53,Upregulated
WDR43,1.9449489,8.498919803479145e-53,Upregulated
SLIRP,1.4368312,8.535827366255992e-53,Upregulated
MOB1A,1.3085954,8.535827366255992e-53,Upregulated
PSMD2,1.4197555,1.2991219318752588e-52,Upregulated
PSMD1,1.5825391,1.565903825564817e-52,Upregulated
NARS,1.6727608,1.792045123646417e-52,Upregulated
CTLA4,4.0626717,1.895549591213658e-52,Upregulated
POLR2K,1.3261482,1.9119589042483224e-52,Upregulated
SATB1,1.5405571,4.235891526632624e-52,Upregulated
ATP5MD,1.0812951,6.302772459557507e-52,Upregulated
LYAR,-1.4198025,7.744662630614906e-52,Downregulated
RRBP1,1.8753068,1.165614717784445e-51,Upregulated
ACAT2,1.8949211,1.4352201840543977e-51,Upregulated
MX2,2.0070152,4.915046047413081e-51,Upregulated
EIF3I,1.2404112,5.2127855870928617e-51,Upregulated
