Gene,LogFC,Adjusted_PValue,Regulation
NFKB2,1.7881982,1.2422065113318733e-11,Upregulated
PSMC3,1.489708,1.2638751966691335e-11,Upregulated
SNRPE,1.2213347,1.5299045334694798e-11,Upregulated
TAP1,1.6377736,1.817954049011912e-11,Upregulated
CCT6A,1.3268969,2.651091456186116e-11,Upregulated
INSIG1,2.6113083,3.397268155386046e-11,Upregulated
RPL22L1,1.4777011,3.640851264005994e-11,Upregulated
SRSF2,1.1473211,3.640851264005994e-11,Upregulated
LINC00861,-3.651621,3.82067661864159e-11,Downregulated
EZR,1.1766503,5.6668017770486644e-11,Upregulated
JPT1,1.2966611,5.864571729454702e-11,Upregulated
SEM1,1.2455474,6.030728108984646e-11,Upregulated
TMEM208,1.5310394,6.153554810248052e-11,Upregulated
CAP1,1.0966246,6.153554810248052e-11,Upregulated
EIF6,1.3788924,6.975443410966952e-11,Upregulated
HNRNPAB,1.4464693,8.706280065213904e-11,Upregulated
CCT4,1.364504,8.706280065213904e-11,Upregulated
MAP1LC3B,1.3945807,8.993736494361727e-11,Upregulated
COX17,1.4916984,9.009671441290923e-11,Upregulated
MAGOH,1.240204,9.866778077764673e-11,Upregulated
SRA1,2.2458324,1.047824121290868e-10,Upregulated
RGCC,1.4607112,1.0772459028018924e-10,Upregulated
SNRPB2,1.1645281,1.1100911267247866e-10,Upregulated
ATP5MC1,1.3044056,1.1243721634143038e-10,Upregulated
EHD4,2.3574553,1.1622736252213338e-10,Upregulated
LMAN2,1.2622049,1.1643923322238477e-10,Upregulated
PSMD1,1.695241,1.2096184198679704e-10,Upregulated
FAS,2.3345044,1.2367470387663232e-10,Upregulated
FERMT3,1.8263474,1.281392682484118e-10,Upregulated
ROMO1,1.5453186,1.348518226291776e-10,Upregulated
POLR2L,1.1248548,1.478952387107622e-10,Upregulated
ZFP36L2,-1.29842,2.218977991544655e-10,Downregulated
CYCS,1.2019578,2.691781557003836e-10,Upregulated
CKLF,1.2798576,2.833647406276734e-10,Upregulated
SDF4,1.4577801,3.747261595865365e-10,Upregulated
LINC01943,1.9913062,4.581520999135724e-10,Upregulated
C17orf49,1.3385074,6.176238383896806e-10,Upregulated
CDV3,1.0236554,6.883296013641269e-10,Upregulated
BOLA3,1.8040462,7.042883997072965e-10,Upregulated
NUDC,1.172621,8.928599690228146e-10,Upregulated
POU2F2,1.5486432,9.605431282505642e-10,Upregulated
ATP5MF,1.0354077,9.709546154039427e-10,Upregulated
ABRACL,1.2946585,9.814824165596345e-10,Upregulated
BTG2,-1.3795164,1.002587205340335e-09,Downregulated
LIME1,-3.3494036,1.1650280359662014e-09,Downregulated
GARS,1.9133708,1.167128985882057e-09,Upregulated
TNFRSF1B,1.0447853,1.233759943274163e-09,Upregulated
PSMD12,1.7262732,1.4650034435248451e-09,Upregulated
SGK1,3.2287693,1.5242870094403511e-09,Upregulated
CYTOR,1.477087,1.5648926966230651e-09,Upregulated
MRPL20,1.0864128,1.5794027546613278e-09,Upregulated
MRPL54,1.2916405,1.6262710993196991e-09,Upregulated
LSM7,1.0587219,1.6377111826104511e-09,Upregulated
SELENOH,1.0423855,1.639496244566833e-09,Upregulated
AURKAIP1,1.1354753,1.7273055388862452e-09,Upregulated
MRPL14,1.4695017,2.053798043700234e-09,Upregulated
TPM4,1.3509245,2.2675618387976267e-09,Upregulated
DYNLL1,1.0240759,2.30710174300641e-09,Upregulated
PLAAT4,-1.4113078,2.665984164663657e-09,Downregulated
TNIP2,1.5488918,2.8216707784857735e-09,Upregulated
HSPA4,1.8179953,3.168179324392444e-09,Upregulated
ARF4,1.7017311,3.4692255978278463e-09,Upregulated
METRNL,2.8798187,3.731241216172023e-09,Upregulated
IL7R,-1.841636,3.987782976240941e-09,Downregulated
GTF3C6,1.2332358,4.046400325050913e-09,Upregulated
SF3B6,1.0862999,4.046400325050913e-09,Upregulated
GIMAP1,-1.9848074,4.077534787164502e-09,Downregulated
RAB5IF,1.2472236,4.132829201233421e-09,Upregulated
RBM17,1.2591387,5.063404146176966e-09,Upregulated
EIF3J,1.231632,5.378000112927055e-09,Upregulated
ELOC,1.3348588,5.604162158932695e-09,Upregulated
RNF145,1.4905932,5.8497283854273835e-09,Upregulated
PDIA4,2.2066255,6.784999929421837e-09,Upregulated
MICOS13,1.1439229,7.055658184337696e-09,Upregulated
MX1,1.4524378,7.211966285149261e-09,Upregulated
MLEC,1.3280293,7.612686834354544e-09,Upregulated
IFITM2,1.0136054,8.255961531283343e-09,Upregulated
ACOT9,2.8080168,8.324694926075076e-09,Upregulated
ACAT2,1.7353871,8.430006951054824e-09,Upregulated
ERH,1.018713,8.721068637163843e-09,Upregulated
HSPA9,1.1500548,1.025254226919104e-08,Upregulated
GADD45GIP1,1.0781771,1.0433455800198551e-08,Upregulated
PDCD5,1.1350424,1.0930471854915067e-08,Upregulated
TWF2,1.6363533,1.1743178898294414e-08,Upregulated
CORO1B,1.9242505,1.223766548089888e-08,Upregulated
HIVEP3,3.5717852,1.2243676943710243e-08,Upregulated
NDUFA12,1.0335928,1.3956427822961827e-08,Upregulated
FKBP4,1.7177374,1.498074735020709e-08,Upregulated
HYOU1,2.8126643,1.713372178943916e-08,Upregulated
EIF3I,1.0419066,1.8998696461483147e-08,Upregulated
UNC119,2.1960196,1.9127942121002275e-08,Upregulated
